customer_id,full_name,cpf_cnpj,priority,final_customer_score,max_tx_rule_score,max_month_rule_score,total_amount,tx_count,suspicious_tx_count,sanctions_tx_count,sanctions_list_hit,pep,risk_rating,kyc_risk_score,annual_income_brl,declared_occupation,cross_border_count,high_risk_country_count,near_10k_count,ecommerce_no3ds_count,self_merchant_count,first_month,last_month,months_alerted,total_month_rule_score,max_month_rule_count,max_tx_amount,kyc_tier,state,city,beneficial_owner,registration_date,date_of_birth,total_tx_rule_score
C101028,Customer 1029,51003876454,Crítica,515.0,233.0,220.0,98313.97,25,20,0,Yes,Yes,Low,64.0,47312.0,Designer,5,1,0,2,0,2025-07,2025-09,3,420.0,5,14373.91,L3,BA,Salvador,No,2024-07-16,2009-08-27,2651.0
C101208,Customer 1209,75249447443,Crítica,444.7,210.0,187.0,162018.31999999998,34,20,1,No,No,Low,51.0,13047.0,Chef,9,1,0,1,0,2025-07,2025-10,3,277.0,4,34398.52,L1,GO,Goiânia,No,2023-02-17,1977-02-12,686.0
C100091,Customer 92,68157089319,Crítica,411.0,248.0,135.0,97254.48999999999,21,8,1,No,No,Low,66.0,10173.0,Store Owner,3,1,1,1,0,2025-07,2025-10,2,200.0,2,18507.97,L2,MG,Belo Horizonte,No,2022-04-07,1983-10-05,469.0
C101582,Customer 1583,37060215256,Crítica,403.0,148.0,185.0,101275.97,27,26,0,Yes,No,Low,73.0,10907.0,Nurse,4,0,0,1,0,2025-07,2025-10,4,555.0,4,24230.02,L3,CE,Fortaleza,No,2022-11-05,1981-02-17,2855.0
C101445,Customer 1446,84666703422,Crítica,399.0,142.0,187.0,83575.85,27,24,0,Yes,No,Low,43.0,21304.0,Designer,10,0,0,1,0,2025-07,2025-10,4,552.0,4,7490.44,L3,RJ,Rio de Janeiro,Yes,2022-05-23,2009-04-08,2627.0
C100099,Customer 100,69963932176,Crítica,395.0,160.0,165.0,97696.22,23,21,0,Yes,No,Low,99.0,83775.0,Dentist,4,1,1,1,0,2025-07,2025-10,4,522.0,3,12010.14,L2,PR,Curitiba,No,2021-02-04,1986-01-30,2332.0
C100472,Customer 473,77454803721,Crítica,383.0,148.0,165.0,147842.97,26,24,0,Yes,No,Low,55.0,23044.0,Freelancer,4,0,0,1,0,2025-07,2025-10,4,557.0,3,42420.78,L1,SP,Campinas,No,2024-10-07,1976-04-28,2654.0
C101517,Customer 1518,17259651468,Crítica,377.0,142.0,165.0,104259.38,34,22,0,Yes,No,Medium,73.0,10091.0,Freelancer,7,0,0,0,0,2025-07,2025-10,4,557.0,3,17817.3,L2,SP,Campinas,No,2020-09-29,1993-11-15,2354.0
C100840,Customer 841,33833283382,Crítica,364.0,130.0,165.0,77696.76000000001,23,19,0,Yes,No,Low,65.0,36644.0,Dentist,3,0,1,0,0,2025-07,2025-10,4,530.0,3,11919.52,L1,RS,Porto Alegre,No,2024-09-06,2014-11-18,1926.0
C100570,Customer 571,89171358703,Crítica,325.0,130.0,135.0,72307.2,17,13,0,Yes,No,Low,74.0,9122.0,Driver,2,0,0,0,0,2025-07,2025-10,4,470.0,2,18652.03,L3,AM,Manaus,Yes,2023-07-28,2009-09-27,1374.0
C100030,Customer 31,78684335326,Crítica,313.5,130.0,135.0,80408.82,16,15,0,Yes,No,Medium,71.0,31403.0,Trader,2,0,0,0,0,2025-07,2025-09,3,335.0,2,45442.61,L1,SP,São Paulo,No,2020-02-28,1989-03-07,1600.0
C102253,Customer 2254,28472129064,Crítica,309.0,133.0,145.0,96801.39,21,13,0,No,No,Low,44.0,25794.0,Dentist,3,1,1,0,1,2025-07,2025-10,2,180.0,3,17609.47,L2,RJ,Rio de Janeiro,No,2024-04-15,1995-12-20,492.0
C100057,Customer 58,07358735570,Crítica,308.7,103.0,167.0,127955.57999999999,32,12,0,No,No,Low,33.0,6675.0,Chef,9,2,0,0,0,2025-07,2025-09,3,267.0,6,15429.04,L1,CE,Fortaleza,No,2024-07-15,2014-09-02,476.0
C102179,Customer 2180,12863332696,Crítica,294.5,132.0,125.0,127483.55,31,18,0,No,Yes,Low,19.0,8267.0,Driver,5,1,0,0,0,2025-07,2025-10,2,195.0,4,17239.08,L3,RN,Natal,No,2023-01-25,2020-01-15,705.0
C100300,Customer 301,68038285311,Crítica,286.0,80.0,160.0,171526.61000000002,33,20,0,No,No,Low,62.0,29374.0,Student,3,0,3,0,1,2025-07,2025-10,3,260.0,4,23175.66,L3,PR,Curitiba,No,2025-03-02,2000-10-28,498.0
C100831,Customer 832,33442584499,Crítica,283.0,118.0,125.0,166896.65,34,14,0,No,Yes,Medium,38.0,13435.0,Driver,6,1,0,2,0,2025-07,2025-09,3,260.0,4,40438.36,L1,PA,Belém,No,2025-04-03,1981-03-22,639.0
C100842,Customer 843,04739468695,Crítica,280.2,130.0,122.0,107138.61,24,16,0,No,No,Low,48.0,6189.0,Lawyer,8,3,0,0,0,2025-07,2025-10,1,122.0,4,24134.97,L1,SP,São Paulo,No,2022-01-13,2005-01-17,672.0
C100519,Customer 520,41727706190,Crítica,278.9,130.0,107.0,134812.32,32,16,0,No,No,Low,42.0,33685.0,Designer,11,1,1,1,0,2025-07,2025-10,3,259.0,4,18876.31,L1,CE,Fortaleza,No,2021-06-01,2004-10-08,576.0
C101775,Customer 1776,77495895256,Crítica,274.9,120.0,122.0,111046.01,21,15,0,No,Yes,Low,55.0,32145.0,Nurse,7,2,1,0,0,2025-07,2025-10,2,179.0,4,41577.9,L1,MG,Belo Horizonte,No,2023-09-01,2019-07-25,629.0
C100282,Customer 283,40270711228,Crítica,274.4,100.0,132.0,168555.42,32,17,0,No,No,Low,63.0,12965.0,Chef,9,2,0,0,0,2025-07,2025-10,3,254.0,5,21718.51,L3,DF,Brasília,No,2021-03-09,1972-08-10,670.0
C100024,Customer 25,86563551505,Crítica,271.0,120.0,125.0,115878.51,28,10,0,No,Yes,Low,73.0,22930.0,Accountant,4,1,0,0,0,2025-07,2025-10,2,160.0,4,25266.39,L2,PE,Recife,No,2020-03-15,2007-09-16,425.0
C100932,Customer 933,42324558675,Crítica,265.5,68.0,145.0,194384.95,41,18,0,No,Yes,Low,59.0,6706.0,Nurse,5,0,1,0,0,2025-07,2025-10,3,345.0,5,15700.29,L2,MG,Belo Horizonte,No,2020-05-18,1969-07-30,762.0
C101770,Customer 1771,89270196597,Crítica,264.6,97.0,126.0,137296.86000000002,37,17,0,No,No,Low,56.0,19633.0,Trader,8,1,0,2,0,2025-07,2025-10,3,246.0,5,23579.84,L3,AM,Manaus,No,2024-02-15,1977-11-22,474.0
C100853,Customer 854,94467698829,Crítica,263.3,100.0,121.0,148358.44,34,16,0,No,No,Medium,47.0,8326.0,Accountant,6,1,0,2,0,2025-07,2025-09,3,263.0,5,20498.63,L1,RS,Porto Alegre,No,2022-05-07,1980-06-15,623.0
C100251,Customer 252,77244079266,Crítica,262.0,85.0,140.0,114056.06999999999,29,16,0,No,No,High,76.0,14701.0,Consultant,8,2,1,1,0,2025-07,2025-10,3,210.0,5,16108.26,L3,GO,Goiânia,Yes,2023-05-09,2015-05-25,503.0
C101047,Customer 1048,70373327985,Crítica,261.0,97.0,125.0,117244.91999999998,32,20,0,No,No,High,74.0,6832.0,Store Owner,8,2,0,0,0,2025-07,2025-10,2,190.0,5,23170.76,L2,PR,Curitiba,No,2024-01-31,1959-11-13,642.0
C100679,Customer 680,12285757808,Crítica,258.7,110.0,107.0,123046.57,33,18,0,No,No,Low,52.0,14737.0,Student,7,2,1,0,0,2025-07,2025-10,3,237.0,4,11548.01,L1,SC,Florianópolis,No,2020-08-20,1980-09-28,610.0
C101048,Customer 1049,46593133207,Crítica,257.0,100.0,115.0,190485.83,34,20,0,No,Yes,Medium,82.0,13616.0,Mechanic,7,0,0,0,0,2025-07,2025-10,3,220.0,4,25085.71,L2,SC,Florianópolis,No,2021-12-31,2019-07-27,1029.0
C101722,Customer 1723,41096502038,Crítica,257.0,100.0,125.0,104267.77,29,16,0,No,Yes,Medium,66.0,16815.0,Nurse,5,0,0,2,0,2025-07,2025-10,2,160.0,4,27578.88,L2,PR,Curitiba,No,2022-05-21,1967-09-30,671.0
