customer_id,month,tx_count,confirmed_count,total_amount,avg_amount,max_amount,cash_in_count,cash_out_count,cash_in_amount,cash_out_amount,pix_count,card_count,wire_count,cross_border_count,high_risk_country_count,sanctions_tx_count,high_risk_mcc_count,high_risk_merchant_count,ecommerce_no3ds_count,chargeback_count,ip_anomaly_proxy_count,rooted_count,near_10k_count,self_merchant_count,tx_rule_score_sum,tx_rule_score_max,unique_counterparties,full_name,cpf_cnpj,annual_income_brl,risk_rating,pep,kyc_tier,kyc_risk_score,sanctions_list_hit,declared_occupation,date_of_birth,registration_date,state,city,beneficial_owner,monthly_income_est,out_profile_threshold,M01_monthly_out_of_profile_dynamic,M02_velocity_high_volume,M03_structuring_near_10k_repeated,M04_cashin_to_cashout_pass_through_proxy,M05_crossborder_concentration,M06_high_risk_country_repeated,M07_sanctions_any_period,M08_pep_high_volume,M09_high_risk_mcc_repeated,M10_ecommerce_no3ds_repeated,M11_device_ip_risk_repeated,M12_self_merchant_any,month_rule_count,month_rule_score,month_rules_triggered
C101028,2025-07,14,13,62577.35,4469.810714285714,14373.91,3,11,9910.53,52666.82,7,7,0,3,1,0,5,5,1,0,2,1,0,0,1683.0,233.0,12,Customer 1029,51003876454,47312.0,Low,Yes,L3,64.0,Yes,Designer,2009-08-27,2024-07-16,BA,Salvador,No,3942.6666666666665,20000.0,True,False,False,True,False,False,True,True,True,False,False,False,5,220.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M08_pep_high_volume; M09_high_risk_mcc_repeated
C101208,2025-08,12,12,40315.799999999996,3359.6499999999996,7890.69,2,10,6672.41,33643.39,6,4,2,5,1,1,3,2,1,0,1,0,0,0,345.0,210.0,11,Customer 1209,75249447443,13047.0,Low,No,L1,51.0,No,Chef,1977-02-12,2023-02-17,GO,Goiânia,No,1087.25,20000.0,True,False,False,True,True,False,True,False,False,False,False,False,4,187.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M07_sanctions_any_period
C101445,2025-08,11,9,36933.740000000005,3357.6127272727276,5877.53,2,9,6883.88,30049.86,7,3,1,5,0,0,3,3,0,0,2,0,0,0,1099.0,142.0,10,Customer 1446,84666703422,21304.0,Low,No,L3,43.0,Yes,Designer,2009-04-08,2022-05-23,RJ,Rio de Janeiro,Yes,1775.3333333333333,20000.0,True,False,False,True,True,False,True,False,False,False,False,False,4,187.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M07_sanctions_any_period
C101582,2025-09,9,9,48023.74,5335.971111111111,24230.02,2,7,7319.26,40704.479999999996,5,3,1,1,0,0,5,3,1,0,2,0,0,0,1070.0,148.0,8,Customer 1583,37060215256,10907.0,Low,No,L3,73.0,Yes,Nurse,1981-02-17,2022-11-05,CE,Fortaleza,No,908.9166666666666,20000.0,True,False,False,True,False,False,True,False,True,False,False,False,4,185.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M09_high_risk_mcc_repeated
C100057,2025-07,18,16,69504.59999999999,3861.3666666666663,12674.63,2,16,3726.8,65777.8,11,6,1,7,2,0,6,5,0,2,1,0,0,0,428.0,103.0,17,Customer 58,07358735570,6675.0,Low,No,L1,33.0,No,Chef,2014-09-02,2024-07-15,CE,Fortaleza,No,556.25,20000.0,True,True,False,True,True,True,False,False,True,False,False,False,6,167.0,M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M06_high_risk_country_repeated; M09_high_risk_mcc_repeated
C100099,2025-08,11,11,53062.77,4823.888181818182,11134.76,2,9,9944.99,43117.78,7,4,0,1,0,0,4,4,0,0,2,2,1,0,1146.0,130.0,10,Customer 100,69963932176,83775.0,Low,No,L2,99.0,Yes,Dentist,1986-01-30,2021-02-04,PR,Curitiba,No,6981.25,20000.0,True,False,False,True,False,False,True,False,False,False,False,False,3,165.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period
C100840,2025-08,11,10,42614.58,3874.052727272727,9361.76,3,8,6584.04,36030.54,9,2,0,1,0,0,1,0,0,1,2,0,1,0,1021.0,127.0,9,Customer 841,33833283382,36644.0,Low,No,L1,65.0,Yes,Dentist,2014-11-18,2024-09-06,RS,Porto Alegre,No,3053.6666666666665,20000.0,True,False,False,True,False,False,True,False,False,False,False,False,3,165.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period
C101445,2025-09,11,10,31529.260000000002,2866.296363636364,7490.44,3,8,8621.689999999999,22907.57,5,5,1,3,0,0,4,2,0,0,0,0,0,0,995.0,130.0,9,Customer 1446,84666703422,21304.0,Low,No,L3,43.0,Yes,Designer,2009-04-08,2022-05-23,RJ,Rio de Janeiro,Yes,1775.3333333333333,20000.0,True,False,False,True,False,False,True,False,False,False,False,False,3,165.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period
C100472,2025-07,9,8,30644.41,3404.9344444444446,14266.05,3,6,3505.48,27138.93,5,3,1,0,0,0,2,1,0,1,0,0,0,0,868.0,133.0,7,Customer 473,77454803721,23044.0,Low,No,L1,55.0,Yes,Freelancer,1976-04-28,2024-10-07,SP,Campinas,No,1920.3333333333333,20000.0,True,False,False,True,False,False,True,False,False,False,False,False,3,165.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period
C100840,2025-09,8,8,24116.43,3014.55375,11919.52,2,6,12230.74,11885.689999999999,4,4,0,2,0,0,1,1,0,0,0,0,0,0,623.0,130.0,7,Customer 841,33833283382,36644.0,Low,No,L1,65.0,Yes,Dentist,2014-11-18,2024-09-06,RS,Porto Alegre,No,3053.6666666666665,20000.0,True,False,False,True,False,False,True,False,False,False,False,False,3,165.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period
C101517,2025-09,7,7,23825.16,3403.594285714286,10190.76,2,5,3193.6800000000003,20631.480000000003,2,3,2,1,0,0,1,1,0,0,0,0,0,0,623.0,130.0,6,Customer 1518,17259651468,10091.0,Medium,No,L2,73.0,Yes,Freelancer,1993-11-15,2020-09-29,SP,Campinas,No,840.9166666666666,20000.0,True,False,False,True,False,False,True,False,False,False,False,False,3,165.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period
C100300,2025-07,16,15,86567.52,5410.47,20767.7,1,15,2000.19,84567.33,9,6,1,1,0,0,6,2,0,0,0,1,2,1,282.0,80.0,15,Customer 301,68038285311,29374.0,Low,No,L3,62.0,No,Student,2000-10-28,2025-03-02,PR,Curitiba,No,2447.8333333333335,20000.0,True,True,False,False,False,False,False,False,True,False,False,True,4,160.0,M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M09_high_risk_mcc_repeated; M12_self_merchant_any
C101517,2025-07,12,10,38157.83,3179.8191666666667,17817.3,7,5,29576.0,8581.83,4,7,1,4,0,0,4,2,0,0,2,1,0,0,817.0,142.0,6,Customer 1518,17259651468,10091.0,Medium,No,L2,73.0,Yes,Freelancer,1993-11-15,2020-09-29,SP,Campinas,No,840.9166666666666,20000.0,True,False,False,False,True,False,True,False,False,False,False,False,3,157.0,M01_monthly_out_of_profile_dynamic; M05_crossborder_concentration; M07_sanctions_any_period
C100472,2025-09,9,8,33512.94,3723.6600000000003,10130.24,1,8,10130.24,23382.699999999997,4,5,0,3,0,0,1,1,1,1,0,0,0,0,946.0,135.0,9,Customer 473,77454803721,23044.0,Low,No,L1,55.0,Yes,Freelancer,1976-04-28,2024-10-07,SP,Campinas,No,1920.3333333333333,20000.0,True,False,False,False,True,False,True,False,False,False,False,False,3,157.0,M01_monthly_out_of_profile_dynamic; M05_crossborder_concentration; M07_sanctions_any_period
C100099,2025-09,8,8,25194.63,3149.32875,10629.5,0,8,0.0,25194.63,5,3,0,3,1,0,1,0,0,0,0,0,0,0,860.0,160.0,8,Customer 100,69963932176,83775.0,Low,No,L2,99.0,Yes,Dentist,1986-01-30,2021-02-04,PR,Curitiba,No,6981.25,20000.0,True,False,False,False,True,False,True,False,False,False,False,False,3,157.0,M01_monthly_out_of_profile_dynamic; M05_crossborder_concentration; M07_sanctions_any_period
C102253,2025-07,11,10,59279.32,5389.029090909091,17609.47,2,9,4098.030000000001,55181.29,7,4,0,0,0,0,4,1,0,1,0,0,1,1,268.0,133.0,10,Customer 2254,28472129064,25794.0,Low,No,L2,44.0,No,Dentist,1995-12-20,2024-04-15,RJ,Rio de Janeiro,No,2149.5,20000.0,True,False,False,True,False,False,False,False,False,False,False,True,3,145.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M12_self_merchant_any
C100932,2025-09,16,16,58204.21,3637.763125,10293.18,2,14,1635.0700000000002,56569.14,10,6,0,1,0,0,5,2,0,0,0,0,1,0,215.0,68.0,15,Customer 933,42324558675,6706.0,Low,Yes,L2,59.0,No,Nurse,1969-07-30,2020-05-18,MG,Belo Horizonte,No,558.8333333333334,20000.0,True,True,False,True,False,False,False,True,True,False,False,False,5,145.0,M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M04_cashin_to_cashout_pass_through_proxy; M08_pep_high_volume; M09_high_risk_mcc_repeated
C100251,2025-09,11,8,38095.2,3463.2,13491.34,2,9,2460.73,35634.47,6,5,0,4,2,0,3,1,0,0,3,0,0,0,269.0,85.0,10,Customer 252,77244079266,14701.0,High,No,L3,76.0,No,Consultant,2015-05-25,2023-05-09,GO,Goiânia,Yes,1225.0833333333333,20000.0,True,False,False,True,True,True,False,False,False,False,True,False,5,140.0,M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M06_high_risk_country_repeated; M11_device_ip_risk_repeated
